state,name,lon,lat,region,cluster
ME,Bingham Wind,-69.747475,45.08741,NE,1
ME,Bingham Wind,-69.751671,45.086685,NE,1
ME,Bingham Wind,-69.68274699999999,45.148129,NE,1
ME,Bingham Wind,-69.671722,45.152958,NE,1
ME,Bingham Wind,-69.69722,45.1283,NE,1
ME,Bingham Wind,-69.65501400000001,45.159168,NE,1
ME,Bingham Wind,-69.69414499999999,45.129959,NE,1
ME,Bingham Wind,-69.787743,45.06522800000001,NE,1
ME,Bingham Wind,-69.700439,45.116833,NE,1
ME,Bingham Wind,-69.63205,45.15871,NE,1
ME,Bingham Wind,-69.722511,45.099136,NE,1
ME,Bingham Wind,-69.654915,45.176117,NE,1
ME,Bull Hill,-68.156601,44.73299,NE,1
ME,Bull Hill,-68.1595,44.731892,NE,1
ME,Bull Hill,-68.164001,44.69389,NE,1
ME,Bull Hill,-68.17469799999999,44.725693,NE,1
ME,Bull Hill,-68.1539,44.697491,NE,1
ME,Bull Hill,-68.14810200000001,44.73629,NE,1
ME,Bull Hill,-68.15100100000001,44.735291,NE,1
ME,Bull Hill,-68.153,44.706593,NE,1
ME,Bull Hill,-68.160896,44.695091,NE,1
ME,Bull Hill,-68.157997,44.696091,NE,1
ME,Bull Hill,-68.153702,44.70179,NE,1
ME,Bull Hill,-68.16840400000001,44.728291,NE,1
ME,Bull Hill,-68.151398,44.716091,NE,1
ME,Bull Hill,-68.151703,44.71118900000001,NE,1
ME,Bull Hill,-68.165497,44.729591,NE,1
ME,Bull Hill,-68.171402,44.72699,NE,1
ME,Bull Hill,-68.1623,44.730789,NE,1
ME,Bull Hill,-68.167099,44.692791,NE,1
ME,Bull Hill,-68.153801,44.734192,NE,1
MA,Camelot Wind Project,-70.644302,41.925491,NE,0
ME,Canton Mountain,-70.30319200000001,44.514629,NE,1
ME,Canton Mountain,-70.303886,44.512718,NE,1
ME,Canton Mountain,-70.301132,44.518677,NE,1
ME,Canton Mountain,-70.303337,44.507622,NE,1
ME,Canton Mountain,-70.300888,44.520935,NE,1
ME,Canton Mountain,-70.30261999999999,44.51646,NE,1
ME,Canton Mountain,-70.310333,44.507473,NE,1
ME,Canton Mountain,-70.30328399999999,44.510708,NE,1
MA,Cape Cod Regional Transit Authority,-70.144402,41.69009000000001,NE,0
MA,Charlestown Wind Turbine,-71.070999,42.391491,NE,0
MA,City of Medford,-71.099098,42.408993,NE,0
NY,Copenhagen,-75.668747,43.913235,NE,0
NY,Copenhagen,-75.635063,43.899338,NE,0
NY,Copenhagen,-75.694664,43.910301,NE,0
NY,Copenhagen,-75.621544,43.902374,NE,0
NY,Copenhagen,-75.69693000000002,43.912449,NE,0
NY,Copenhagen,-75.705383,43.887222,NE,0
NY,Copenhagen,-75.592972,43.886776,NE,0
NY,Copenhagen,-75.618286,43.901035,NE,0
NY,Copenhagen,-75.624771,43.904068,NE,0
NY,Copenhagen,-75.705574,43.891418,NE,0
NY,Copenhagen,-75.671944,43.916294,NE,0
NY,Copenhagen,-75.677818,43.920322,NE,0
NY,Copenhagen,-75.586922,43.868786,NE,0
NY,Copenhagen,-75.578293,43.87352,NE,0
NY,Copenhagen,-75.639656,43.872139,NE,0
NY,Copenhagen,-75.575859,43.871052,NE,0
NY,Copenhagen,-75.602776,43.89112100000001,NE,0
NY,Copenhagen,-75.595314,43.87458,NE,0
NY,Copenhagen,-75.639565,43.881844,NE,0
NY,Copenhagen,-75.61673,43.898449,NE,0
NY,Copenhagen,-75.708015,43.893444,NE,0
NY,Copenhagen,-75.597,43.890461,NE,0
NY,Copenhagen,-75.680679,43.922237,NE,0
NY,Copenhagen,-75.58078,43.876072,NE,0
NY,Copenhagen,-75.703369,43.884205,NE,0
NY,Copenhagen,-75.642586,43.873894,NE,0
NY,Copenhagen,-75.64200600000002,43.894241,NE,0
NY,Copenhagen,-75.66645799999998,43.910229,NE,0
NY,Copenhagen,-75.59058399999998,43.87012100000001,NE,0
NY,Copenhagen,-75.586067,43.885586,NE,0
NY,Copenhagen,-75.592751,43.872795,NE,0
NY,Copenhagen,-75.645409,43.876301,NE,0
NY,Copenhagen,-75.704697,43.875538,NE,0
NY,Copenhagen,-75.695175,43.876385,NE,0
NY,Copenhagen,-75.62912,43.881485,NE,0
NY,Copenhagen,-75.572609,43.867901,NE,0
NY,Copenhagen,-75.665276,43.906898,NE,0
NY,Copenhagen,-75.67474399999998,43.91853,NE,0
NY,Copenhagen,-75.58309200000002,43.878216,NE,0
NY,Copenhagen,-75.664268,43.904247,NE,0
MD,Crisfield Waste Water Treatment Plant,-75.85838299999998,37.982826,NE,-1
MD,Criterion,-79.353394,39.357292,NE,2
MD,Criterion,-79.367935,39.344124,NE,2
MD,Criterion,-79.264595,39.423691,NE,2
MD,Criterion,-79.334396,39.37429,NE,2
MD,Criterion,-79.281097,39.412025,NE,2
MD,Criterion,-79.28094499999997,39.414402,NE,2
MD,Criterion,-79.361938,39.349968,NE,2
MD,Criterion,-79.336998,39.369892,NE,2
MD,Criterion,-79.332779,39.375893,NE,2
MD,Criterion,-79.354996,39.355492,NE,2
MD,Criterion,-79.366135,39.345322,NE,2
MD,Criterion,-79.27268199999997,39.421104,NE,2
MD,Criterion,-79.33564,39.371521,NE,2
MD,Criterion,-79.270226,39.422897,NE,2
MD,Criterion,-79.261993,39.425491,NE,2
MD,Criterion,-79.371796,39.339993,NE,2
MD,Criterion,-79.371094,39.341694,NE,2
MD,Criterion,-79.357925,39.353756,NE,2
MD,Criterion,-79.278198,39.417294,NE,2
MD,Criterion,-79.327896,39.379494,NE,2
MD,Criterion,-79.290199,39.404793,NE,2
MD,Criterion,-79.36434200000002,39.346504,NE,2
MD,Criterion,-79.35199,39.358425,NE,2
MD,Criterion,-79.363029,39.34822800000001,NE,2
MD,Criterion,-79.279099,39.415718,NE,2
MD,Criterion,-79.330399,39.377792,NE,2
MD,Criterion,-79.260696,39.426891,NE,2
MD,Criterion,-79.275757,39.419327,NE,2
MA,"Department of Correction, NCCI Gardner",-71.938202,42.581692,NE,0
MA,"Department of Correction, NCCI Gardner",-71.937798,42.57819,NE,0
NY,Dutch Hill/Cohocton,-77.414497,42.552292,NE,0
NY,Dutch Hill/Cohocton,-77.4067,42.518391,NE,0
NY,Dutch Hill/Cohocton,-77.447197,42.505993,NE,0
NY,Dutch Hill/Cohocton,-77.40929399999997,42.527092,NE,0
NY,Dutch Hill/Cohocton,-77.527794,42.44099,NE,0
NY,Dutch Hill/Cohocton,-77.498199,42.51609000000001,NE,0
NY,Dutch Hill/Cohocton,-77.45109599999998,42.560291,NE,0
NY,Dutch Hill/Cohocton,-77.445198,42.528893,NE,0
NY,Dutch Hill/Cohocton,-77.481995,42.544292,NE,0
NY,Dutch Hill/Cohocton,-77.434395,42.51609000000001,NE,0
NY,Dutch Hill/Cohocton,-77.523193,42.445492,NE,0
NY,Dutch Hill/Cohocton,-77.428993,42.558891,NE,0
NY,Dutch Hill/Cohocton,-77.492699,42.523991,NE,0
